Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x30fcfe48596ea12df67867d81b76ab077b4a7392,ShardwalletFactory,0.8.9,2,8/21/2022
mainnet,0x9bbd7ac2f05d09cdd7b0fa38ba6ead0e5dc15b2f,NFTCloner,0.8.7,5,1/20/2022
mainnet,0x965d0952ad0daa235eb0dba933a061d288edae9a,PaymentSplitterManagerClones,0.8.2,28,11/02/2021
mainnet,0xd61f2b9396f94913dab1affc6f95aff54fee729f,ShardwalletFactory,0.8.9,1,8/21/2022
mainnet,0x778e0bf89a5f3cac5333a0613691390d41f35227,BondFactory,0.8.9,2,5/16/2022
mainnet,0x00000000b8f8f18b708c8f7aa10f9ee7ea88049a,ERC721SeaDropCloneFactory,0.8.17,9,3/10/2023
mainnet,0x6c97a35d7c57c48463281a5ec9620a4613be62bf,ERC20RootVaultGovernance,0.8.9,14,12/18/2022
mainnet,0xdfb92a97dfb20f8dffaca70dd4524c0ab11a7bd5,GroupLPFactory,0.8.4,19,11/08/2022
mainnet,0x9d3496639fbd68a88718425f080dce178c8bf2d6,BidderFactory,0.8.19,5,3/10/2023
mainnet,0x10fd9348136dcea154f752fe0b6db45fc298a589,OrgFundFactory,0.8.13,1430,11/08/2022
mainnet,0x18d501625ad2e1b01a4fc83d4417c985502c7925,DominiumProxyFactory,0.8.16,3,12/18/2022
mainnet,0x5e08e99cef9c9f417976ae720842eb3f6c607b8c,TokenFactory,0.8.16,1,3/11/2023
mainnet,0x5f140ea4e08d1af9f41fa4cf935fc7a98ef4fff8,StakeFactory,0.8.10,2,12/18/2022
mainnet,0xdef92e784abf24bf319e21d505be6406b500c8a1,TwoFiveSixFactory,0.8.9,9,5/17/2022
mainnet,0x359a5fb8102c085cf43fdfd104d6692a1839135b,DefiiFactory,0.8.10,7,1/26/2023
mainnet,0x1a3e7728aa4a8d2a29c0e28c275fdcdbbd1f95f4,MSFactory,0.8.12,7,1/26/2023
mainnet,0x025f4f30773dab9517c0cde5ea36f98f4fd4ee6a,VendorFactory,0.8.4,3,3/25/2022
mainnet,0xf01eb98de53ed964ac3f786b80ed8ce33f05f417,PoolManager,0.8.11,15,3/24/2022
mainnet,0xec8c22b174628b36a3291fa558138164d2a31171,StreetlabRestrictedERC721AFactory,0.8.15,10,8/22/2022
mainnet,0x4ebc68a45645976763987c7f969a8eac2281d035,StreetlabERC721AFactory,0.8.15,3,8/22/2022
mainnet,0x078e43b73c60c8777ccd5cf96e88695dce26d90a,DSProxyFactory,0.4.26,1,5/24/2021
mainnet,0x6a0bed085e2a06aea54267108c9eb51293ee7f51,VaultFactory,0.8.6,2,8/10/2021
mainnet,0x6bbe6ded0b36974771673d4ae3faaeb38c08fcb3,ERC20RootVaultGovernance,0.8.9,9,11/10/2022
mainnet,0xa5e12e177b7a5f0d61f0b2fa297bcac74fffcc0c,EthRaffleCloneFactory,0.8.17,2,1/27/2023
mainnet,0xe33b367d3a985eb9c53a7a4031f6b1b5aa4392d1,DoNFTFactoryV2,0.8.9,4,9/30/2022
mainnet,0xa8a90a777b897afe12ea44d5f8be5e6d2e5d0012,StakingFactory,0.8.9,13,11/06/2021
mainnet,0x2acb4ebae0891efb5041822a5d79e49c4e6016fa,CDPerFactory,v0.4.22,5,4/18/2018
mainnet,0xe413cbb9a3b64ffe1f7b08898d91ccacf6c457a7,CDPerFactory,v0.4.22,2,4/18/2018
mainnet,0xbc0d9988ae5a755031b35415e80b49174791684c,GovernTokenFactory,0.6.8,1,8/11/2021
mainnet,0x5d2d6a91c8b5fb62f2a6725eb791f412a5d39c4d,GovernQueueFactory,0.6.8,1,8/11/2021
mainnet,0x6090afbdcf13b3a53323509955279ce0de4003a2,GovernFactory,0.6.8,1,8/11/2021
mainnet,0x1151650fa47268308ff944757bd6fbfa14815fe8,PodFactory,0.7.0,4,5/21/2021
mainnet,0x7902159116c98fc26730ea2ffc952502402e7a11,TokenDropFactory,0.7.0,1,5/21/2021
mainnet,0xb286a43f3eff9059117f58ee2472d1c902416810,TrancheWrapper,0.8.10,8,11/10/2022
mainnet,0xca1198683c975881e23330a9935f6a997299fcae,PureChaos,0.8.7,6,8/22/2022
mainnet,0xe304911c5efd2deea32e4632d61af08938b8e8cf,ETHSaleCharacterPassCloner,0.8.17,3,1/27/2023
mainnet,0x4e3a9f9fbafb2ec49727cffa2a411f7a0c1c4ce1,PodFactory,0.7.0,7,5/26/2021
mainnet,0x75a94aa59b2b2db8724c9f55ca856c0b7c0a01e3,TokenDropFactory,0.7.0,1,5/26/2021
mainnet,0xe60b26410975272bfdb7a23470bf0ec09c28517e,AuraBalancerV2LpStakingWrapperFactory,0.6.12,1,11/10/2022
mainnet,0x87c0e24bce71a926bf73abaad7df1ace8b54cbca,Deployer,0.8.9,1,7/08/2022
mainnet,0x6c04e2a7e49376823fcce0fa5ebe7894ef6d84ab,DefiiFactory,0.8.10,7,1/27/2023
mainnet,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,GnosisSafeProxyFactory,0.7.6,153778,5/25/2021
mainnet,0xabd9c0bd5628c90db7a8cf787c2580d1ef105026,NFTLotteryPoolFactory,0.6.8,43,8/13/2021
mainnet,0x94f68b54191f62f781fe8298a8a5fa3ed772d227,SingleRecipientGaugeFactory,0.7.1,3,3/26/2022
mainnet,0x95f5c6dbac30ee95d582926b1b865ab2ec69ae57,UpgradeableBeaconFactory,0.8.3,2,5/15/2021
mainnet,0x4e7bbd911cf1efa442bc1b2e9ea01ffe785412ec,LiquidityGaugeFactory,0.7.1,70,3/26/2022
