Network,Address,Name,Solidity Version,Txcount,Create Date
goerli,0x602326ce4051ed6c1ba71c30a903480d21ad66b5,Deployer,0.8.16+commit.07a7930e,11,12/16/2022
sepolia,0xb518d0b16afa30c3a5afadcd855449dc526b202d,DripsDeployer,0.8.19+commit.7dd6d404,1,6/12/2023
mainnet,0x92cbda8b44b36cf9e9ec754e39b040580a59eeec,TimelockFactory,0.8.19+commit.7dd6d404,50,9/08/2023
mainnet,0x95f6ce439ffe16f4817bb64c2a727e737b0450d6,XERC20Factory,0.8.20+commit.a1b79de6,1,9/04/2023
mainnet,0xa8c545150329987623aca8421a6c2e448018057f,XERC20Factory,0.8.20+commit.a1b79de6,1,9/01/2023
mainnet,0x67da7df78cc55e182f4d4e5704f3d8988257dd04,XERC20Factory,0.8.20+commit.a1b79de6,1,9/01/2023
mainnet,0x36d4a5dacce9712c6353d7f778c52dca813f093f,XERC20Factory,0.8.20+commit.a1b79de6,1,9/01/2023
mainnet,0x6df7bf308abaf673f38db316ecc97b988ce1ca78,Create3Factory,0.8.20+commit.a1b79de6,4,7/11/2023
mainnet,0x6aa3d87e99286946161dca02b97c5806fc5ed46f,CREATE3Factory,0.8.16+commit.07a7930e,3,7/10/2023
mainnet,0x6d7255d2a37fc668e9274129c27b5c9d3f5a86fe,Create3Factory,0.8.16+commit.07a7930e,1,4/22/2023
goerli,0xc10fa06d401c05bce65b55efb1ef2158e55ff1d7,XERC20Factory,0.8.18+commit.87f61d96,24,10/20/2023
goerli,0xd420ea5a1981db5f1914954ce6e012a3bb10c015,DeterministicFactory,0.8.7+commit.e28d00a7,0,
sepolia,0xd420ea5a1981db5f1914954ce6e012a3bb10c015,DeterministicFactory,0.8.7+commit.e28d00a7,0,
