Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0xc5a0ba13a3749c5d4a21934df8fd64821ac3fce7,AaveV3EthereumInitialPayload,0.8.17,1,1/22/2023
mainnet,0xb9fc157394af804a3578134a6585c0dc9cc990d4,Vyper_contract,vyper:0.2.15,474,7/27/2021
mainnet,0x8efe2c82bd31b67fa262c0d364773629f6ea828a,DssSpell,0.6.12,3,5/15/2021
mainnet,0xee15e6c4c6dacba162e6bd8c6c7185049beba212,ERC4626Factory,0.8.15,4,12/16/2022
mainnet,0x6558cae45b20d2dea47e7564213c3f98973d34fc,Indelible,0.8.17,662,3/07/2023
mainnet,0xf2c5e9d1f82f073d3a1d5a884c338da79e1d6e15,OilerOptionDifficultyFactory,0.7.5,1,7/29/2021
mainnet,0xfdb8135dd29785da7486a96974d3b6a687430821,DssSpell,0.6.12,3,5/10/2022
mainnet,0xdd5052bfc4d281793653b0037d46cc2d8d1fd1b5,DssSpell,0.6.12,3,1/15/2022
mainnet,0x1dcb1e6665673fcf1a399829bb4a7c188f2d3e3a,cxTokenFactory,0.8.17,1,11/05/2022
mainnet,0x0150b57aa8cc6fcbc110f07eef0c85731d8aacf4,VaultFactory,0.8.17,1,11/05/2022
mainnet,0xd9dfc3ba364d0c4ee69afea8f20d8dffda8970c3,CollectionFactory,0.8.16,2,1/23/2023
mainnet,0xf86d621f42ec36b6fd4e5dc660a47ad98d50cfc0,DssSpell,0.6.12,4,10/30/2021
mainnet,0x6f6586e70bc081dd1aaceac9159ba0cd433194a7,Indelible,0.8.14,163,12/15/2022
mainnet,0x0d793f640ad69c3b58c4bfe771415d4881a0490f,SecondPriceAuction,v0.4.19,44,5/08/2018
mainnet,0x24451f47caf13b24f4b5034e1df6c0e401ec0e46,LendPoolAddressesProvider,0.8.4,24,3/19/2022
mainnet,0x6255f0e78c520decccb5356d4f51a3df04149a3d,Indelible,0.8.14,1247,12/15/2022
mainnet,0xf82b969828c4744f3ccaae3b240abc0e9c52233e,NifterMarketAuction,0.6.12,29,7/31/2021
mainnet,0xf0727058fcf72c89d2d926b3e8062972748280b0,Strategy,0.6.12,3,5/15/2021
mainnet,0x74bd1d07a158e8a9eecfbd2267766f5919e2b21c,RegistryFactory,v0.4.24,1,9/07/2018
mainnet,0xc79eefad206da3f637e802c8799bfe763f70e702,ManagedIndexFactory,0.8.13,2,5/11/2022
mainnet,0x7efb46ba046fc63c3bb826b3b3979f5025adb485,LevAaveFactory,0.6.12,3,10/29/2021
mainnet,0x0000000000085d4780b73119b644ae5ecd22b376,OwnedUpgradeabilityProxy,0.4.23,1259780,1/01/2019
mainnet,0xe91962d780d85924fe40ec87a3135716a204f18f,ChugSplashBootLoader,0.8.15,1,1/24/2023
mainnet,0x1c47e857e674006f5e3f0b6ca4f71d153c54c3ee,Governor,0.8.13,16,12/16/2022
mainnet,0x00cb53780ea58503d3059fc02ddd596d0be926cb,Factory,0.8.17,187,3/07/2023
mainnet,0x4fe8caf634004cb3dd54acd3f59c861fdc6de215,DssSpell,0.8.16,3,3/07/2023
mainnet,0x02c3ea4e34c0cbd694d2adfa2c690eecbc1793ee,PoolAddressesProvider,0.8.10,9,3/07/2023
mainnet,0xd1a640f5ea30ff98b4d5e2409b0e0e5d15c23e70,FundManager,0.8.0,15,4/12/2021
mainnet,0x6122893eb3b248b6c1aed6050715eb5826bfd2f6,MarketRegistry,0.4.26,80,3/07/2023
mainnet,0x1199ff042ceee7beb495fcbef69f59389d65d6cd,CreepyDucks,0.8.13,436,12/17/2022
mainnet,0xd9cb5f8ce99382b34aeb08126f2d40c5f05f20d1,FirstDibsAuction,0.6.12,2,8/03/2021
mainnet,0x385ed61627a1f2d2851fb686bc40f33944953ef5,FeeMultiToken,v0.4.24,2049,9/03/2018
mainnet,0x4a240bea124ff7a6780172671795f2a2625a0bce,MultiTokenDeployer,v0.4.24,2,9/03/2018
mainnet,0xd69c661cf52545c4a0339164bc2887baab09664d,IronBankProtocolAdapter,0.7.6,2,8/02/2021
mainnet,0xd80526efbcc066b771028d96b4eb8354124556e4,FulcrumProtocolAdapter,0.7.6,2,8/02/2021
mainnet,0x69cd35dc288ae7c70d3dfdb9673da48174990fe3,CreamProtocolAdapter,0.7.6,5,8/02/2021
mainnet,0x7f77389b868718b5351433d8031d49921cd72ace,CompoundProtocolAdapter,0.7.6,3,8/02/2021
mainnet,0x7e8248b81ca0840d63d8afbbb42f23b0fe101cbf,AaveV2ProtocolAdapter,0.7.6,8,8/02/2021
mainnet,0xd96e60a80418a525b2283f8c7f50c3c8db15c402,AaveV1ProtocolAdapter,0.7.6,2,8/02/2021
mainnet,0x10a073fdda745650d8d9219d1ce76fe187ba2025,VaultRegistry,0.8.14,8,7/05/2022
mainnet,0xb140bdc833fc635c06f1c671e5155a98d2a9a686,WrappedInFlashLoan,0.8.7,2,8/19/2022
mainnet,0xe47b6ab1b4839200714b2b10a4aeb769d31c4704,Indelible,0.8.17,2127,3/07/2023
mainnet,0xe1532de8fa6ead8af4e461a9c3c9544c938f33b5,XTokenFactory,0.7.4,15,5/15/2021
mainnet,0x46054f14a0a54d5c8e443ab428a7b8e945b6d908,BlackSquare,0.8.9,53,10/31/2021
mainnet,0x90340f21fbcd9f6fb31944a6665b42e708dd35bd,LendingPoolAddressesProvider,0.6.12,10,8/03/2021
mainnet,0x4a10ce72d29a959e53060ba704100dd872decab6,PerpetualFutures,0.8.16,12,9/29/2022
mainnet,0x5c3100161088d9ad30414bf78da8d5a710084a89,InternalTokenVestingExtensionFactory,0.8.9,18,3/08/2023
